Поток 8 | Угол: 321.00° | Минимальное топливо: 276.40
Поток 4 | Угол: 327.00° | Минимальное топливо: 276.60
Поток 0 | Угол: 324.00° | Минимальное топливо: 277.80
Поток 6 | Угол: 330.00° | Минимальное топливо: 276.60
Поток 5 | Угол: 333.00° | Минимальное топливо: 277.00
Поток 2 | Угол: 336.00° | Минимальное топливо: 276.80
Поток 10 | Угол: 339.00° | Минимальное топливо: 277.20
Поток 8 | Угол: 345.00° | Минимальное топливо: 276.60
Поток 9 | Угол: 342.00° | Минимальное топливо: 276.80
Поток 0 | Угол: 351.00° | Минимальное топливо: 277.20
Поток 6 | Угол: 354.00° | Минимальное топливо: 276.40
Поток 5 | Угол: 357.00° | Минимальное топливо: 276.00
Поток 2 | Угол: 360.00° | Минимальное топливо: 276.20
