x y
1.50843e+11 4.1981e+07
1.50835e+11 3.14908e+08
1.50826e+11 5.87631e+08
1.50817e+11 8.60149e+08
1.50807e+11 1.13246e+09
1.50797e+11 1.40456e+09
1.50786e+11 1.67644e+09
1.50775e+11 1.94812e+09
1.50763e+11 2.21957e+09
1.50751e+11 2.4908e+09
1.50738e+11 2.76181e+09
1.50724e+11 3.0326e+09
1.50711e+11 3.30317e+09
1.50696e+11 3.5735e+09
1.50681e+11 3.84361e+09
1.50666e+11 4.11349e+09
1.5065e+11 4.38313e+09
1.50634e+11 4.65254e+09
1.50617e+11 4.92172e+09
1.506e+11 5.19066e+09
1.50583e+11 5.45937e+09
1.50564e+11 5.72784e+09
1.50546e+11 5.99607e+09
1.50527e+11 6.26407e+09
1.50508e+11 6.53182e+09
1.50488e+11 6.79934e+09
1.50467e+11 7.06662e+09
1.50447e+11 7.33366e+09
1.50426e+11 7.60045e+09
1.50404e+11 7.86701e+09
1.50382e+11 8.13334e+09
1.5036e+11 8.39942e+09
1.50337e+11 8.66527e+09
1.50314e+11 8.93087e+09
1.5029e+11 9.19625e+09
1.50267e+11 9.46138e+09
1.50242e+11 9.72629e+09
1.50218e+11 9.99096e+09
1.50193e+11 1.02554e+10
1.50168e+11 1.05196e+10
1.50142e+11 1.07836e+10
1.50116e+11 1.10473e+10
1.50089e+11 1.13109e+10
1.50063e+11 1.15742e+10
1.50036e+11 1.18373e+10
1.50008e+11 1.21001e+10
1.49981e+11 1.23628e+10
1.49953e+11 1.26252e+10
1.49924e+11 1.28875e+10
1.49896e+11 1.31495e+10
1.49867e+11 1.34113e+10
1.49838e+11 1.3673e+10
1.49808e+11 1.39344e+10
1.49779e+11 1.41956e+10
1.49748e+11 1.44567e+10
1.49718e+11 1.47175e+10
1.49687e+11 1.49782e+10
1.49657e+11 1.52387e+10
1.49625e+11 1.54991e+10
1.49594e+11 1.57592e+10
1.49562e+11 1.60192e+10
1.4953e+11 1.62791e+10
1.49498e+11 1.65388e+10
1.49466e+11 1.67983e+10
1.49433e+11 1.70577e+10
1.494e+11 1.73169e+10
1.49367e+11 1.75761e+10
1.49334e+11 1.78351e+10
1.493e+11 1.80939e+10
1.49266e+11 1.83527e+10
1.49232e+11 1.86113e+10
1.49198e+11 1.88698e+10
1.49163e+11 1.91283e+10
1.49128e+11 1.93866e+10
1.49093e+11 1.96449e+10
1.49058e+11 1.9903e+10
1.49023e+11 2.01611e+10
1.48987e+11 2.04191e+10
1.48951e+11 2.06771e+10
1.48915e+11 2.09349e+10
1.48879e+11 2.11928e+10
1.48842e+11 2.14506e+10
1.48805e+11 2.17083e+10
1.48768e+11 2.1966e+10
1.48731e+11 2.22237e+10
1.48693e+11 2.24814e+10
1.48656e+11 2.2739e+10
1.48618e+11 2.29966e+10
1.4858e+11 2.32543e+10
1.48541e+11 2.35119e+10
1.48503e+11 2.37695e+10
1.48464e+11 2.40272e+10
1.48425e+11 2.42848e+10
1.48385e+11 2.45425e+10
1.48346e+11 2.48002e+10
1.48306e+11 2.5058e+10
1.48266e+11 2.53158e+10
1.48226e+11 2.55736e+10
1.48185e+11 2.58315e+10
1.48144e+11 2.60894e+10
1.48103e+11 2.63474e+10
1.48062e+11 2.66055e+10
1.4802e+11 2.68636e+10
1.47978e+11 2.71218e+10
1.47936e+11 2.73801e+10
1.47894e+11 2.76384e+10
1.47851e+11 2.78969e+10
1.47808e+11 2.81554e+10
1.47765e+11 2.8414e+10
1.47721e+11 2.86727e+10
1.47677e+11 2.89316e+10
1.47633e+11 2.91905e+10
1.47588e+11 2.94495e+10
1.47543e+11 2.97086e+10
1.47498e+11 2.99679e+10
1.47452e+11 3.02272e+10
1.47406e+11 3.04867e+10
1.4736e+11 3.07463e+10
1.47313e+11 3.1006e+10
1.47266e+11 3.12658e+10
1.47219e+11 3.15258e+10
1.47171e+11 3.17858e+10
1.47123e+11 3.2046e+10
1.47075e+11 3.23064e+10
1.47026e+11 3.25668e+10
1.46977e+11 3.28274e+10
1.46927e+11 3.30881e+10
1.46877e+11 3.33489e+10
1.46827e+11 3.36099e+10
1.46776e+11 3.3871e+10
1.46724e+11 3.41322e+10
1.46673e+11 3.43935e+10
1.4662e+11 3.4655e+10
1.46568e+11 3.49166e+10
1.46515e+11 3.51783e+10
1.46461e+11 3.54401e+10
1.46407e+11 3.57021e+10
1.46353e+11 3.59642e+10
1.46298e+11 3.62264e+10
1.46243e+11 3.64887e+10
1.46187e+11 3.67512e+10
1.4613e+11 3.70137e+10
1.46073e+11 3.72764e+10
1.46016e+11 3.75392e+10
1.45958e+11 3.78021e+10
1.459e+11 3.80651e+10
1.45841e+11 3.83282e+10
1.45782e+11 3.85914e+10
1.45722e+11 3.88547e+10
1.45661e+11 3.91181e+10
1.456e+11 3.93816e+10
1.45539e+11 3.96451e+10
1.45477e+11 3.99088e+10
1.45414e+11 4.01725e+10
1.45351e+11 4.04364e+10
1.45288e+11 4.07003e+10
1.45223e+11 4.09642e+10
1.45158e+11 4.12283e+10
1.45093e+11 4.14924e+10
1.45027e+11 4.17565e+10
1.44961e+11 4.20208e+10
1.44894e+11 4.2285e+10
1.44826e+11 4.25494e+10
1.44758e+11 4.28137e+10
1.44689e+11 4.30781e+10
1.44619e+11 4.33426e+10
1.44549e+11 4.3607e+10
1.44478e+11 4.38715e+10
1.44407e+11 4.4136e+10
1.44335e+11 4.44006e+10
1.44263e+11 4.46651e+10
1.4419e+11 4.49297e+10
1.44116e+11 4.51942e+10
1.44042e+11 4.54588e+10
1.43967e+11 4.57233e+10
1.43891e+11 4.59878e+10
1.43815e+11 4.62523e+10
1.43738e+11 4.65168e+10
1.4366e+11 4.67813e+10
1.43582e+11 4.70457e+10
1.43503e+11 4.73101e+10
1.43424e+11 4.75744e+10
1.43344e+11 4.78387e+10
1.43263e+11 4.8103e+10
1.43182e+11 4.83671e+10
1.431e+11 4.86312e+10
1.43017e+11 4.88953e+10
1.42934e+11 4.91592e+10
1.4285e+11 4.94231e+10
1.42766e+11 4.96869e+10
1.4268e+11 4.99506e+10
1.42594e+11 5.02142e+10
1.42508e+11 5.04777e+10
1.42421e+11 5.07411e+10
1.42333e+11 5.10043e+10
1.42244e+11 5.12675e+10
1.42155e+11 5.15305e+10
1.42065e+11 5.17933e+10
1.41975e+11 5.20561e+10
1.41884e+11 5.23187e+10
1.41792e+11 5.25811e+10
1.417e+11 5.28434e+10
1.41607e+11 5.31055e+10
1.41513e+11 5.33675e+10
1.41418e+11 5.36292e+10
1.41323e+11 5.38908e+10
1.41228e+11 5.41522e+10
1.41131e+11 5.44135e+10
1.41034e+11 5.46745e+10
1.40937e+11 5.49353e+10
1.40838e+11 5.51959e+10
1.40739e+11 5.54563e+10
1.4064e+11 5.57165e+10
1.40539e+11 5.59765e+10
1.40439e+11 5.62362e+10
1.40337e+11 5.64957e+10
1.40235e+11 5.67549e+10
1.40132e+11 5.7014e+10
1.40029e+11 5.72727e+10
1.39925e+11 5.75312e+10
1.3982e+11 5.77894e+10
1.39715e+11 5.80474e+10
1.39609e+11 5.83051e+10
1.39502e+11 5.85625e+10
1.39395e+11 5.88197e+10
1.39287e+11 5.90765e+10
1.39179e+11 5.93331e+10
1.3907e+11 5.95893e+10
1.3896e+11 5.98453e+10
1.3885e+11 6.01009e+10
1.38739e+11 6.03563e+10
1.38627e+11 6.06113e+10
1.38515e+11 6.0866e+10
1.38403e+11 6.11203e+10
1.38289e+11 6.13744e+10
1.38176e+11 6.16281e+10
1.38061e+11 6.18814e+10
1.37946e+11 6.21345e+10
1.37831e+11 6.23871e+10
1.37714e+11 6.26395e+10
1.37598e+11 6.28914e+10
1.3748e+11 6.31431e+10
1.37363e+11 6.33943e+10
1.37244e+11 6.36452e+10
1.37125e+11 6.38957e+10
1.37006e+11 6.41458e+10
1.36886e+11 6.43956e+10
1.36765e+11 6.46449e+10
1.36644e+11 6.48939e+10
1.36522e+11 6.51425e+10
1.364e+11 6.53907e+10
1.36278e+11 6.56385e+10
1.36154e+11 6.5886e+10
1.36031e+11 6.6133e+10
1.35907e+11 6.63796e+10
1.35782e+11 6.66258e+10
1.35657e+11 6.68716e+10
1.35531e+11 6.7117e+10
1.35405e+11 6.73619e+10
1.35278e+11 6.76065e+10
1.35151e+11 6.78506e+10
1.35023e+11 6.80943e+10
1.34895e+11 6.83376e+10
1.34767e+11 6.85805e+10
1.34638e+11 6.88229e+10
1.34509e+11 6.90649e+10
1.34379e+11 6.93065e+10
1.34248e+11 6.95477e+10
1.34118e+11 6.97884e+10
1.33986e+11 7.00287e+10
1.33855e+11 7.02685e+10
1.33723e+11 7.05079e+10
1.3359e+11 7.07469e+10
1.33458e+11 7.09854e+10
1.33324e+11 7.12235e+10
1.33191e+11 7.14612e+10
1.33057e+11 7.16984e+10
1.32922e+11 7.19352e+10
1.32788e+11 7.21715e+10
1.32652e+11 7.24074e+10
1.32517e+11 7.26429e+10
1.32381e+11 7.28779e+10
1.32245e+11 7.31124e+10
1.32108e+11 7.33466e+10
1.31971e+11 7.35803e+10
1.31834e+11 7.38135e+10
1.31696e+11 7.40463e+10
1.31559e+11 7.42787e+10
1.3142e+11 7.45106e+10
1.31282e+11 7.47421e+10
1.31143e+11 7.49732e+10
1.31004e+11 7.52038e+10
1.30864e+11 7.5434e+10
1.30724e+11 7.56638e+10
1.30584e+11 7.58931e+10
1.30444e+11 7.6122e+10
1.30303e+11 7.63505e+10
1.30162e+11 7.65785e+10
1.30021e+11 7.68062e+10
1.2988e+11 7.70334e+10
1.29738e+11 7.72602e+10
1.29596e+11 7.74866e+10
1.29454e+11 7.77125e+10
1.29311e+11 7.79381e+10
1.29169e+11 7.81632e+10
1.29026e+11 7.8388e+10
1.28883e+11 7.86124e+10
1.28739e+11 7.88363e+10
1.28596e+11 7.90599e+10
1.28452e+11 7.92831e+10
1.28308e+11 7.95059e+10
1.28164e+11 7.97283e+10
1.28019e+11 7.99503e+10
1.27875e+11 8.0172e+10
1.2773e+11 8.03933e+10
1.27585e+11 8.06142e+10
1.27439e+11 8.08348e+10
1.27294e+11 8.1055e+10
1.27149e+11 8.12748e+10
1.27003e+11 8.14944e+10
1.26857e+11 8.17135e+10
1.26711e+11 8.19324e+10
1.26565e+11 8.21509e+10
1.26418e+11 8.23691e+10
1.26271e+11 8.25869e+10
1.26125e+11 8.28045e+10
1.25978e+11 8.30217e+10
1.25831e+11 8.32387e+10
1.25684e+11 8.34553e+10
1.25536e+11 8.36716e+10
1.25389e+11 8.38877e+10
1.25241e+11 8.41035e+10
1.25093e+11 8.4319e+10
1.24945e+11 8.45342e+10
1.24797e+11 8.47492e+10
1.24649e+11 8.49639e+10
1.24501e+11 8.51784e+10
1.24352e+11 8.53926e+10
1.24203e+11 8.56066e+10
1.24055e+11 8.58203e+10
1.23906e+11 8.60338e+10
1.23756e+11 8.62471e+10
1.23607e+11 8.64602e+10
1.23458e+11 8.66731e+10
1.23308e+11 8.68858e+10
1.23159e+11 8.70983e+10
1.23009e+11 8.73106e+10
1.22859e+11 8.75227e+10
1.22709e+11 8.77346e+10
1.22558e+11 8.79463e+10
1.22408e+11 8.81579e+10
1.22257e+11 8.83694e+10
1.22106e+11 8.85806e+10
1.21956e+11 8.87918e+10
1.21804e+11 8.90027e+10
1.21653e+11 8.92136e+10
1.21502e+11 8.94243e+10
1.2135e+11 8.96348e+10
1.21198e+11 8.98453e+10
1.21046e+11 9.00556e+10
1.20894e+11 9.02658e+10
1.20742e+11 9.04759e+10
1.20589e+11 9.06859e+10
1.20436e+11 9.08958e+10
1.20283e+11 9.11056e+10
1.2013e+11 9.13153e+10
1.19977e+11 9.15249e+10
1.19823e+11 9.17344e+10
1.19669e+11 9.19438e+10
1.19515e+11 9.21532e+10
1.1936e+11 9.23625e+10
1.19206e+11 9.25717e+10
1.19051e+11 9.27808e+10
1.18896e+11 9.29898e+10
1.1874e+11 9.31988e+10
1.18585e+11 9.34077e+10
1.18429e+11 9.36166e+10
1.18273e+11 9.38253e+10
1.18116e+11 9.40341e+10
1.17959e+11 9.42427e+10
1.17802e+11 9.44513e+10
1.17645e+11 9.46599e+10
1.17487e+11 9.48683e+10
1.17329e+11 9.50768e+10
1.17171e+11 9.52851e+10
1.17012e+11 9.54934e+10
1.16853e+11 9.57017e+10
1.16694e+11 9.59098e+10
1.16534e+11 9.6118e+10
1.16374e+11 9.6326e+10
1.16214e+11 9.6534e+10
1.16053e+11 9.6742e+10
1.15892e+11 9.69499e+10
1.15731e+11 9.71577e+10
1.15569e+11 9.73654e+10
1.15406e+11 9.75731e+10
1.15244e+11 9.77807e+10
1.15081e+11 9.79883e+10
1.14917e+11 9.81957e+10
1.14754e+11 9.84031e+10
1.14589e+11 9.86104e+10
1.14425e+11 9.88177e+10
1.1426e+11 9.90248e+10
1.14094e+11 9.92319e+10
1.13928e+11 9.94388e+10
1.13762e+11 9.96457e+10
1.13595e+11 9.98525e+10
1.13428e+11 1.00059e+11
1.1326e+11 1.00266e+11
1.13092e+11 1.00472e+11
1.12923e+11 1.00679e+11
1.12754e+11 1.00885e+11
1.12585e+11 1.01091e+11
1.12415e+11 1.01297e+11
1.12244e+11 1.01503e+11
1.12073e+11 1.01709e+11
1.11902e+11 1.01914e+11
1.1173e+11 1.0212e+11
1.11558e+11 1.02325e+11
1.11385e+11 1.0253e+11
1.11211e+11 1.02735e+11
1.11038e+11 1.0294e+11
1.10863e+11 1.03145e+11
1.10688e+11 1.0335e+11
1.10513e+11 1.03554e+11
1.10337e+11 1.03758e+11
1.10161e+11 1.03962e+11
1.09984e+11 1.04166e+11
1.09806e+11 1.0437e+11
1.09629e+11 1.04573e+11
1.0945e+11 1.04777e+11
1.09271e+11 1.0498e+11
1.09092e+11 1.05183e+11
1.08912e+11 1.05385e+11
1.08731e+11 1.05588e+11
1.0855e+11 1.0579e+11
1.08368e+11 1.05992e+11
1.08186e+11 1.06194e+11
1.08004e+11 1.06395e+11
1.0782e+11 1.06597e+11
1.07637e+11 1.06798e+11
1.07452e+11 1.06998e+11
1.07268e+11 1.07199e+11
1.07082e+11 1.07399e+11
1.06896e+11 1.07599e+11
1.0671e+11 1.07799e+11
1.06523e+11 1.07998e+11
1.06335e+11 1.08197e+11
1.06147e+11 1.08396e+11
1.05959e+11 1.08595e+11
1.0577e+11 1.08793e+11
1.0558e+11 1.08991e+11
1.0539e+11 1.09189e+11
1.05199e+11 1.09386e+11
1.05008e+11 1.09583e+11
1.04816e+11 1.0978e+11
1.04624e+11 1.09976e+11
1.04431e+11 1.10172e+11
1.04238e+11 1.10367e+11
1.04044e+11 1.10563e+11
1.03849e+11 1.10758e+11
1.03654e+11 1.10952e+11
1.03459e+11 1.11146e+11
1.03263e+11 1.1134e+11
1.03066e+11 1.11534e+11
1.02869e+11 1.11727e+11
1.02671e+11 1.11919e+11
1.02473e+11 1.12112e+11
1.02274e+11 1.12303e+11
1.02075e+11 1.12495e+11
1.01876e+11 1.12686e+11
1.01675e+11 1.12877e+11
1.01475e+11 1.13067e+11
1.01273e+11 1.13257e+11
1.01072e+11 1.13446e+11
1.00869e+11 1.13635e+11
1.00667e+11 1.13823e+11
1.00463e+11 1.14011e+11
1.0026e+11 1.14199e+11
1.00055e+11 1.14386e+11
9.98507e+10 1.14573e+11
9.96455e+10 1.14759e+11
9.94398e+10 1.14945e+11
9.92336e+10 1.1513e+11
9.9027e+10 1.15315e+11
9.88199e+10 1.15499e+11
9.86123e+10 1.15683e+11
9.84042e+10 1.15866e+11
9.81957e+10 1.16049e+11
9.79867e+10 1.16231e+11
9.77773e+10 1.16413e+11
9.75674e+10 1.16594e+11
9.73571e+10 1.16775e+11
9.71463e+10 1.16956e+11
9.69351e+10 1.17135e+11
9.67235e+10 1.17315e+11
9.65114e+10 1.17493e+11
9.62989e+10 1.17671e+11
9.6086e+10 1.17849e+11
9.58727e+10 1.18026e+11
9.56589e+10 1.18203e+11
9.54448e+10 1.18379e+11
9.52303e+10 1.18554e+11
9.50153e+10 1.18729e+11
9.48e+10 1.18904e+11
9.45843e+10 1.19078e+11
9.43682e+10 1.19251e+11
9.41517e+10 1.19423e+11
9.39349e+10 1.19596e+11
9.37177e+10 1.19767e+11
9.35001e+10 1.19938e+11
9.32822e+10 1.20109e+11
9.30639e+10 1.20279e+11
9.28453e+10 1.20448e+11
9.26263e+10 1.20617e+11
9.2407e+10 1.20785e+11
9.21874e+10 1.20952e+11
9.19675e+10 1.21119e+11
9.17472e+10 1.21286e+11
9.15267e+10 1.21451e+11
9.13058e+10 1.21617e+11
9.10846e+10 1.21781e+11
9.08632e+10 1.21945e+11
9.06414e+10 1.22109e+11
9.04194e+10 1.22271e+11
9.01971e+10 1.22434e+11
8.99745e+10 1.22595e+11
8.97516e+10 1.22756e+11
8.95285e+10 1.22917e+11
8.93052e+10 1.23077e+11
8.90816e+10 1.23236e+11
8.88577e+10 1.23395e+11
8.86336e+10 1.23553e+11
8.84093e+10 1.2371e+11
8.81848e+10 1.23867e+11
8.796e+10 1.24024e+11
8.77351e+10 1.24179e+11
8.75099e+10 1.24334e+11
8.72845e+10 1.24489e+11
8.7059e+10 1.24643e+11
8.68332e+10 1.24796e+11
8.66073e+10 1.24949e+11
8.63811e+10 1.25101e+11
8.61548e+10 1.25253e+11
8.59284e+10 1.25404e+11
8.57018e+10 1.25554e+11
8.5475e+10 1.25704e+11
8.52481e+10 1.25853e+11
8.5021e+10 1.26002e+11
8.47938e+10 1.2615e+11
8.45664e+10 1.26298e+11
8.4339e+10 1.26445e+11
8.41114e+10 1.26591e+11
8.38837e+10 1.26737e+11
8.36558e+10 1.26882e+11
8.34279e+10 1.27027e+11
8.31999e+10 1.27171e+11
8.29717e+10 1.27314e+11
8.27435e+10 1.27458e+11
8.25152e+10 1.276e+11
8.22868e+10 1.27742e+11
8.20583e+10 1.27883e+11
8.18298e+10 1.28024e+11
8.16012e+10 1.28165e+11
8.13725e+10 1.28304e+11
8.11438e+10 1.28444e+11
8.0915e+10 1.28582e+11
8.06861e+10 1.28721e+11
8.04572e+10 1.28858e+11
8.02283e+10 1.28996e+11
7.99993e+10 1.29132e+11
7.97703e+10 1.29269e+11
7.95413e+10 1.29404e+11
7.93122e+10 1.2954e+11
7.90831e+10 1.29674e+11
7.8854e+10 1.29809e+11
7.86249e+10 1.29942e+11
7.83957e+10 1.30076e+11
7.81665e+10 1.30209e+11
7.79374e+10 1.30341e+11
7.77082e+10 1.30473e+11
7.7479e+10 1.30604e+11
7.72498e+10 1.30735e+11
7.70206e+10 1.30866e+11
7.67914e+10 1.30996e+11
7.65622e+10 1.31126e+11
7.63331e+10 1.31255e+11
7.61039e+10 1.31384e+11
7.58747e+10 1.31513e+11
7.56455e+10 1.31641e+11
7.54164e+10 1.31769e+11
7.51872e+10 1.31896e+11
7.49581e+10 1.32023e+11
7.4729e+10 1.32149e+11
7.44999e+10 1.32276e+11
7.42708e+10 1.32401e+11
7.40417e+10 1.32527e+11
7.38126e+10 1.32652e+11
7.35836e+10 1.32777e+11
7.33545e+10 1.32901e+11
7.31255e+10 1.33025e+11
7.28964e+10 1.33149e+11
7.26674e+10 1.33273e+11
7.24384e+10 1.33396e+11
7.22094e+10 1.33518e+11
7.19804e+10 1.33641e+11
7.17513e+10 1.33763e+11
7.15223e+10 1.33885e+11
7.12933e+10 1.34007e+11
7.10643e+10 1.34128e+11
7.08352e+10 1.34249e+11
7.06062e+10 1.3437e+11
7.03771e+10 1.3449e+11
7.0148e+10 1.34611e+11
6.99189e+10 1.34731e+11
6.96898e+10 1.3485e+11
6.94606e+10 1.3497e+11
6.92314e+10 1.35089e+11
6.90022e+10 1.35208e+11
6.87729e+10 1.35327e+11
6.85436e+10 1.35445e+11
6.83142e+10 1.35564e+11
6.80848e+10 1.35682e+11
6.78553e+10 1.358e+11
6.76257e+10 1.35917e+11
6.73961e+10 1.36035e+11
6.71664e+10 1.36152e+11
6.69366e+10 1.36269e+11
6.67067e+10 1.36386e+11
6.64768e+10 1.36503e+11
6.62467e+10 1.36619e+11
6.60166e+10 1.36735e+11
6.57863e+10 1.36851e+11
6.55559e+10 1.36967e+11
6.53254e+10 1.37083e+11
6.50948e+10 1.37198e+11
6.4864e+10 1.37314e+11
6.46331e+10 1.37429e+11
6.44021e+10 1.37544e+11
6.41709e+10 1.37659e+11
6.39396e+10 1.37773e+11
6.37081e+10 1.37888e+11
6.34764e+10 1.38002e+11
6.32446e+10 1.38116e+11
6.30126e+10 1.3823e+11
6.27804e+10 1.38343e+11
