x y
2.28674e+11 4.7311e+07
2.28672e+11 1.6264e+08
2.28672e+11 2.7777e+08
2.28672e+11 3.92944e+08
2.28674e+11 5.0841e+08
2.28678e+11 6.24448e+08
2.28682e+11 7.41413e+08
2.28688e+11 8.59793e+08
2.28695e+11 9.80287e+08
2.28702e+11 1.10387e+09
2.28708e+11 1.23139e+09
2.28708e+11 1.36176e+09
2.28703e+11 1.49081e+09
2.28695e+11 1.61594e+09
2.28686e+11 1.73753e+09
2.28678e+11 1.85663e+09
2.28672e+11 1.97406e+09
2.28667e+11 2.09039e+09
2.28663e+11 2.20602e+09
2.2866e+11 2.32126e+09
2.28659e+11 2.43638e+09
2.28659e+11 2.5516e+09
2.2866e+11 2.66718e+09
2.28662e+11 2.78343e+09
2.28666e+11 2.90072e+09
2.28671e+11 3.01959e+09
2.28677e+11 3.14082e+09
2.28683e+11 3.26543e+09
2.28686e+11 3.39399e+09
2.28684e+11 3.52444e+09
2.28677e+11 3.65249e+09
2.28667e+11 3.77653e+09
2.28657e+11 3.89732e+09
2.28649e+11 4.01587e+09
2.28642e+11 4.13294e+09
2.28636e+11 4.24902e+09
2.28631e+11 4.3645e+09
2.28627e+11 4.47967e+09
2.28625e+11 4.59477e+09
2.28624e+11 4.71005e+09
2.28625e+11 4.82577e+09
2.28627e+11 4.94224e+09
2.2863e+11 5.05988e+09
2.28634e+11 5.1793e+09
2.28639e+11 5.30133e+09
2.28643e+11 5.42701e+09
2.28644e+11 5.55644e+09
2.28639e+11 5.68659e+09
2.28629e+11 5.81352e+09
2.28619e+11 5.93653e+09
2.28608e+11 6.05659e+09
2.28599e+11 6.17464e+09
2.28591e+11 6.29137e+09
2.28584e+11 6.40723e+09
2.28578e+11 6.52257e+09
2.28574e+11 6.63767e+09
2.28571e+11 6.75276e+09
2.2857e+11 6.86811e+09
2.28569e+11 6.98397e+09
2.2857e+11 7.10069e+09
2.28573e+11 7.21872e+09
2.28576e+11 7.33873e+09
2.2858e+11 7.46164e+09
2.28582e+11 7.58841e+09
2.28581e+11 7.71846e+09
2.28573e+11 7.84796e+09
2.28561e+11 7.97372e+09
2.2855e+11 8.09577e+09
2.28538e+11 8.21516e+09
2.28528e+11 8.33276e+09
2.28519e+11 8.44917e+09
2.28512e+11 8.56482e+09
2.28505e+11 8.68003e+09
2.285e+11 8.79506e+09
2.28497e+11 8.91016e+09
2.28494e+11 9.02558e+09
2.28493e+11 9.1416e+09
2.28494e+11 9.25859e+09
2.28495e+11 9.37705e+09
2.28497e+11 9.49772e+09
2.285e+11 9.62157e+09
2.28501e+11 9.7494e+09
2.28496e+11 9.87973e+09
2.28486e+11 1.00083e+10
2.28473e+11 1.01329e+10
2.2846e+11 1.02541e+10
2.28448e+11 1.03729e+10
2.28437e+11 1.049e+10
2.28427e+11 1.06061e+10
2.28419e+11 1.07216e+10
2.28412e+11 1.08367e+10
2.28406e+11 1.09517e+10
2.28402e+11 1.10668e+10
2.28399e+11 1.11823e+10
2.28397e+11 1.12985e+10
2.28396e+11 1.14158e+10
2.28397e+11 1.15347e+10
2.28398e+11 1.16561e+10
2.28399e+11 1.17809e+10
2.28398e+11 1.19097e+10
2.2839e+11 1.204e+10
2.28378e+11 1.21674e+10
2.28364e+11 1.22909e+10
2.2835e+11 1.24113e+10
2.28337e+11 1.25295e+10
2.28325e+11 1.26463e+10
2.28315e+11 1.27621e+10
2.28306e+11 1.28774e+10
2.28298e+11 1.29924e+10
2.28291e+11 1.31073e+10
2.28286e+11 1.32224e+10
2.28282e+11 1.3338e+10
2.2828e+11 1.34544e+10
2.28278e+11 1.3572e+10
2.28278e+11 1.36915e+10
2.28278e+11 1.38137e+10
2.28278e+11 1.39396e+10
2.28274e+11 1.40691e+10
2.28264e+11 1.41989e+10
2.28249e+11 1.43252e+10
2.28234e+11 1.44476e+10
2.28219e+11 1.45672e+10
2.28205e+11 1.46849e+10
2.28193e+11 1.48013e+10
2.28182e+11 1.49169e+10
2.28172e+11 1.5032e+10
2.28163e+11 1.51469e+10
2.28156e+11 1.52618e+10
2.2815e+11 1.53769e+10
2.28145e+11 1.54926e+10
2.28142e+11 1.56092e+10
2.2814e+11 1.57272e+10
2.28139e+11 1.58473e+10
2.28138e+11 1.59703e+10
2.28136e+11 1.60972e+10
2.28129e+11 1.62272e+10
2.28116e+11 1.63562e+10
2.281e+11 1.64813e+10
2.28083e+11 1.66028e+10
2.28068e+11 1.67217e+10
2.28053e+11 1.68389e+10
2.2804e+11 1.6955e+10
2.28028e+11 1.70703e+10
2.28017e+11 1.71852e+10
2.28008e+11 1.73e+10
2.28e+11 1.74149e+10
2.27993e+11 1.75301e+10
2.27988e+11 1.76459e+10
2.27984e+11 1.77627e+10
2.27981e+11 1.78811e+10
2.27979e+11 1.80018e+10
2.27977e+11 1.81258e+10
2.27972e+11 1.82537e+10
2.27963e+11 1.83838e+10
2.27947e+11 1.85117e+10
2.2793e+11 1.86356e+10
2.27913e+11 1.87562e+10
2.27896e+11 1.88745e+10
2.27881e+11 1.89913e+10
2.27867e+11 1.9107e+10
2.27854e+11 1.92221e+10
2.27843e+11 1.93369e+10
2.27832e+11 1.94516e+10
2.27824e+11 1.95664e+10
2.27816e+11 1.96817e+10
2.2781e+11 1.97976e+10
2.27805e+11 1.99148e+10
2.27801e+11 2.00336e+10
2.27798e+11 2.0155e+10
2.27795e+11 2.02799e+10
2.27788e+11 2.04087e+10
2.27776e+11 2.05385e+10
2.27758e+11 2.06653e+10
2.2774e+11 2.07881e+10
2.27721e+11 2.09078e+10
2.27704e+11 2.10255e+10
