x y
2.287e+11 -5.45421e+07
2.287e+11 6.54579e+07
2.287e+11 1.85458e+08
2.287e+11 3.05458e+08
2.28699e+11 4.25458e+08
2.28699e+11 5.45457e+08
2.28699e+11 6.65457e+08
2.28698e+11 7.85456e+08
2.28698e+11 9.05456e+08
2.28697e+11 1.02545e+09
2.28697e+11 1.14545e+09
2.28696e+11 1.26545e+09
2.28695e+11 1.38545e+09
2.28695e+11 1.50545e+09
2.28694e+11 1.62544e+09
2.28693e+11 1.74544e+09
2.28692e+11 1.86544e+09
2.28691e+11 1.98543e+09
2.2869e+11 2.10543e+09
2.28689e+11 2.22542e+09
2.28688e+11 2.34542e+09
2.28686e+11 2.46541e+09
2.28685e+11 2.5854e+09
2.28684e+11 2.70539e+09
2.28682e+11 2.82539e+09
2.28681e+11 2.94538e+09
2.28679e+11 3.06536e+09
2.28677e+11 3.18535e+09
2.28676e+11 3.30534e+09
2.28674e+11 3.42533e+09
2.28672e+11 3.54531e+09
2.2867e+11 3.6653e+09
2.28668e+11 3.78528e+09
2.28666e+11 3.90527e+09
2.28664e+11 4.02525e+09
2.28662e+11 4.14523e+09
2.28659e+11 4.26521e+09
2.28657e+11 4.38519e+09
2.28655e+11 4.50516e+09
2.28652e+11 4.62514e+09
2.2865e+11 4.74511e+09
2.28647e+11 4.86509e+09
2.28645e+11 4.98506e+09
2.28642e+11 5.10503e+09
2.28639e+11 5.225e+09
2.28636e+11 5.34497e+09
2.28634e+11 5.46493e+09
2.28631e+11 5.5849e+09
2.28628e+11 5.70486e+09
2.28625e+11 5.82482e+09
2.28621e+11 5.94478e+09
2.28618e+11 6.06474e+09
2.28615e+11 6.18469e+09
2.28612e+11 6.30465e+09
2.28608e+11 6.4246e+09
2.28605e+11 6.54455e+09
2.28601e+11 6.6645e+09
2.28598e+11 6.78445e+09
2.28594e+11 6.9044e+09
2.2859e+11 7.02434e+09
2.28587e+11 7.14428e+09
2.28583e+11 7.26422e+09
2.28579e+11 7.38416e+09
2.28575e+11 7.50409e+09
2.28571e+11 7.62403e+09
2.28567e+11 7.74396e+09
2.28563e+11 7.86389e+09
2.28559e+11 7.98381e+09
2.28554e+11 8.10374e+09
2.2855e+11 8.22366e+09
2.28546e+11 8.34358e+09
2.28541e+11 8.4635e+09
2.28537e+11 8.58342e+09
2.28532e+11 8.70333e+09
2.28527e+11 8.82324e+09
2.28523e+11 8.94315e+09
2.28518e+11 9.06305e+09
2.28513e+11 9.18296e+09
2.28508e+11 9.30286e+09
2.28503e+11 9.42276e+09
2.28498e+11 9.54265e+09
2.28493e+11 9.66254e+09
2.28488e+11 9.78243e+09
2.28483e+11 9.90232e+09
2.28477e+11 1.00222e+10
2.28472e+11 1.01421e+10
2.28466e+11 1.0262e+10
2.28461e+11 1.03818e+10
2.28455e+11 1.05017e+10
2.2845e+11 1.06216e+10
2.28444e+11 1.07415e+10
2.28438e+11 1.08613e+10
2.28433e+11 1.09812e+10
2.28427e+11 1.1101e+10
2.28421e+11 1.12209e+10
2.28415e+11 1.13407e+10
2.28409e+11 1.14606e+10
2.28403e+11 1.15804e+10
2.28396e+11 1.17003e+10
2.2839e+11 1.18201e+10
2.28384e+11 1.194e+10
2.28378e+11 1.20598e+10
2.28371e+11 1.21796e+10
2.28365e+11 1.22994e+10
2.28358e+11 1.24193e+10
2.28351e+11 1.25391e+10
2.28345e+11 1.26589e+10
2.28338e+11 1.27787e+10
2.28331e+11 1.28985e+10
2.28324e+11 1.30183e+10
2.28317e+11 1.31381e+10
2.2831e+11 1.32579e+10
2.28303e+11 1.33777e+10
2.28296e+11 1.34975e+10
2.28289e+11 1.36173e+10
2.28282e+11 1.37371e+10
2.28274e+11 1.38569e+10
2.28267e+11 1.39766e+10
2.28259e+11 1.40964e+10
2.28252e+11 1.42162e+10
