x y
2.28683e+11 -4.46219e+07
2.28679e+11 6.98877e+07
2.28677e+11 1.8387e+08
2.28677e+11 2.97984e+08
2.28679e+11 4.12697e+08
2.28682e+11 5.28388e+08
2.28687e+11 6.45406e+08
2.28692e+11 7.64114e+08
2.28698e+11 8.84911e+08
2.28704e+11 1.00823e+09
2.28709e+11 1.13441e+09
2.2871e+11 1.2632e+09
2.28707e+11 1.39261e+09
2.28698e+11 1.51895e+09
2.28688e+11 1.6403e+09
2.2868e+11 1.75769e+09
2.28673e+11 1.87284e+09
2.28669e+11 1.98699e+09
2.28667e+11 2.10097e+09
2.28667e+11 2.21531e+09
2.28669e+11 2.33044e+09
2.28672e+11 2.44672e+09
2.28676e+11 2.5645e+09
2.28681e+11 2.68415e+09
2.28686e+11 2.80609e+09
2.2869e+11 2.93075e+09
2.28692e+11 3.05828e+09
2.28691e+11 3.18776e+09
2.28684e+11 3.31613e+09
2.28673e+11 3.44008e+09
2.28662e+11 3.5593e+09
2.28654e+11 3.67541e+09
2.28647e+11 3.78995e+09
2.28643e+11 3.90392e+09
2.28641e+11 4.018e+09
2.28641e+11 4.13266e+09
2.28642e+11 4.24829e+09
2.28645e+11 4.36522e+09
2.28648e+11 4.48383e+09
2.28652e+11 4.60452e+09
2.28656e+11 4.7277e+09
2.28659e+11 4.85374e+09
2.28659e+11 4.98242e+09
2.28653e+11 5.11184e+09
2.28643e+11 5.23834e+09
2.28631e+11 5.35985e+09
2.28621e+11 5.47734e+09
2.28612e+11 5.59252e+09
2.28606e+11 5.70666e+09
2.28602e+11 5.82059e+09
2.286e+11 5.93488e+09
2.28599e+11 6.04994e+09
2.286e+11 6.16613e+09
2.28602e+11 6.2838e+09
2.28605e+11 6.40333e+09
2.28608e+11 6.52513e+09
2.28611e+11 6.64964e+09
2.28611e+11 6.77702e+09
2.28608e+11 6.90641e+09
2.28599e+11 7.03486e+09
2.28586e+11 7.15897e+09
2.28574e+11 7.27831e+09
2.28563e+11 7.39447e+09
2.28555e+11 7.50899e+09
2.28548e+11 7.62292e+09
2.28544e+11 7.73694e+09
2.28542e+11 7.85152e+09
2.28541e+11 7.96704e+09
2.28542e+11 8.08387e+09
2.28543e+11 8.20235e+09
2.28545e+11 8.32289e+09
2.28547e+11 8.44591e+09
2.28548e+11 8.57178e+09
2.28546e+11 8.70031e+09
2.28539e+11 8.82971e+09
2.28527e+11 8.95632e+09
2.28513e+11 9.07797e+09
2.285e+11 9.19552e+09
2.2849e+11 9.3107e+09
2.28481e+11 9.4248e+09
