x y
2.28686e+11 2.24524e+07
2.28686e+11 1.33354e+08
2.2869e+11 2.45773e+08
2.28697e+11 3.61688e+08
2.28705e+11 4.8147e+08
2.28711e+11 6.04552e+08
2.28715e+11 7.30006e+08
2.28717e+11 8.5678e+08
2.28715e+11 9.8374e+08
2.2871e+11 1.10964e+09
2.28702e+11 1.23309e+09
2.28693e+11 1.35277e+09
2.28685e+11 1.46798e+09
2.2868e+11 1.57969e+09
2.28681e+11 1.69074e+09
2.28685e+11 1.8041e+09
2.28692e+11 1.9212e+09
2.28698e+11 2.04207e+09
2.28703e+11 2.16598e+09
2.28706e+11 2.29194e+09
2.28705e+11 2.41889e+09
2.28702e+11 2.54566e+09
2.28695e+11 2.67096e+09
2.28686e+11 2.79339e+09
2.28676e+11 2.91171e+09
2.28668e+11 3.02565e+09
2.28664e+11 3.1368e+09
2.28665e+11 3.24828e+09
2.28669e+11 3.36269e+09
2.28675e+11 3.48098e+09
2.28681e+11 3.60286e+09
2.28684e+11 3.72749e+09
2.28685e+11 3.85386e+09
2.28683e+11 3.98087e+09
2.28677e+11 4.10732e+09
2.28669e+11 4.23189e+09
2.28659e+11 4.35316e+09
2.28648e+11 4.4701e+09
2.2864e+11 4.5829e+09
2.28637e+11 4.69379e+09
2.28639e+11 4.80595e+09
2.28643e+11 4.9215e+09
2.28648e+11 5.04093e+09
2.28652e+11 5.16373e+09
2.28654e+11 5.28899e+09
2.28653e+11 5.41566e+09
2.28649e+11 5.54261e+09
2.28642e+11 5.66862e+09
2.28632e+11 5.79231e+09
2.28621e+11 5.91232e+09
2.2861e+11 6.02787e+09
2.28602e+11 6.13975e+09
2.286e+11 6.25069e+09
2.28602e+11 6.36371e+09
2.28606e+11 6.48044e+09
2.2861e+11 6.60095e+09
2.28613e+11 6.72459e+09
2.28613e+11 6.85037e+09
2.2861e+11 6.97723e+09
2.28605e+11 7.10401e+09
2.28596e+11 7.22944e+09
2.28584e+11 7.35212e+09
2.28572e+11 7.47078e+09
2.28561e+11 7.58501e+09
2.28554e+11 7.69623e+09
2.28553e+11 7.8075e+09
2.28555e+11 7.92154e+09
2.28558e+11 8.03943e+09
2.28561e+11 8.16096e+09
2.28562e+11 8.28533e+09
2.28561e+11 8.41153e+09
2.28557e+11 8.53846e+09
2.28549e+11 8.66495e+09
2.28538e+11 8.78966e+09
2.28526e+11 8.9112e+09
2.28513e+11 9.02846e+09
2.28502e+11 9.14149e+09
2.28496e+11 9.25235e+09
2.28495e+11 9.36421e+09
2.28497e+11 9.47935e+09
2.28499e+11 9.59838e+09
2.28501e+11 9.72084e+09
2.28501e+11 9.84585e+09
2.28498e+11 9.97236e+09
2.28492e+11 1.00993e+10
2.28482e+11 1.02253e+10
2.2847e+11 1.03492e+10
2.28456e+11 1.04695e+10
2.28443e+11 1.05853e+10
2.28433e+11 1.06973e+10
2.28427e+11 1.08081e+10
2.28427e+11 1.09208e+10
2.28428e+11 1.10371e+10
2.2843e+11 1.11572e+10
2.2843e+11 1.12805e+10
2.28428e+11 1.1406e+10
2.28424e+11 1.15328e+10
2.28416e+11 1.16595e+10
2.28405e+11 1.1785e+10
2.28391e+11 1.19079e+10
2.28376e+11 1.20268e+10
2.28363e+11 1.21413e+10
2.28353e+11 1.22526e+10
2.28348e+11 1.23636e+10
2.28348e+11 1.24772e+10
2.28349e+11 1.25947e+10
2.28349e+11 1.27158e+10
2.28348e+11 1.28398e+10
2.28345e+11 1.29658e+10
2.28338e+11 1.30926e+10
2.28329e+11 1.32191e+10
2.28316e+11 1.33439e+10
2.28301e+11 1.34656e+10
2.28285e+11 1.35832e+10
2.28272e+11 1.36964e+10
2.28263e+11 1.38072e+10
2.28259e+11 1.39187e+10
2.28258e+11 1.40334e+10
2.28259e+11 1.4152e+10
2.28258e+11 1.42741e+10
2.28255e+11 1.43987e+10
2.2825e+11 1.4525e+10
2.28242e+11 1.46518e+10
2.2823e+11 1.47779e+10
2.28216e+11 1.49018e+10
2.282e+11 1.50224e+10
2.28184e+11 1.51385e+10
2.28171e+11 1.52506e+10
2.28163e+11 1.53612e+10
2.28159e+11 1.54735e+10
2.28158e+11 1.55893e+10
2.28158e+11 1.5709e+10
2.28156e+11 1.58319e+10
2.28152e+11 1.59571e+10
2.28145e+11 1.60836e+10
2.28135e+11 1.62103e+10
2.28121e+11 1.63358e+10
2.28106e+11 1.64588e+10
2.28088e+11 1.6578e+10
2.28072e+11 1.66927e+10
2.2806e+11 1.6804e+10
2.28052e+11 1.69147e+10
2.28049e+11 1.70279e+10
2.28047e+11 1.71448e+10
2.28046e+11 1.72655e+10
2.28042e+11 1.73892e+10
2.28037e+11 1.75149e+10
2.28028e+11 1.76415e+10
2.28016e+11 1.77679e+10
2.28001e+11 1.78927e+10
2.27984e+11 1.80146e+10
2.27966e+11 1.81324e+10
2.2795e+11 1.82457e+10
2.27938e+11 1.83565e+10
2.27931e+11 1.84677e+10
2.27928e+11 1.85818e+10
2.27926e+11 1.86999e+10
2.27923e+11 1.88215e+10
2.27918e+11 1.89459e+10
2.27911e+11 1.90719e+10
2.279e+11 1.91985e+10
2.27887e+11 1.93245e+10
2.2787e+11 1.94485e+10
2.27852e+11 1.95692e+10
2.27833e+11 1.96855e+10
2.27818e+11 1.97977e+10
2.27806e+11 1.99082e+10
2.278e+11 2.002e+10
2.27796e+11 2.01353e+10
2.27793e+11 2.02544e+10
2.27789e+11 2.03769e+10
2.27783e+11 2.05018e+10
2.27774e+11 2.0628e+10
2.27762e+11 2.07545e+10
2.27746e+11 2.088e+10
2.27728e+11 2.10031e+10
2.27709e+11 2.11224e+10
2.2769e+11 2.12373e+10
2.27675e+11 2.13486e+10
2.27664e+11 2.14591e+10
2.27658e+11 2.15717e+10
2.27654e+11 2.16881e+10
2.2765e+11 2.18083e+10
2.27645e+11 2.19316e+10
2.27637e+11 2.20569e+10
2.27626e+11 2.21833e+10
2.27612e+11 2.23095e+10
2.27595e+11 2.24343e+10
2.27576e+11 2.25563e+10
2.27555e+11 2.26742e+10
2.27536e+11 2.27877e+10
2.27522e+11 2.28984e+10
2.27512e+11 2.30092e+10
2.27506e+11 2.31228e+10
2.27501e+11 2.32403e+10
2.27496e+11 2.33614e+10
2.27489e+11 2.34854e+10
2.2748e+11 2.3611e+10
2.27467e+11 2.37374e+10
2.27451e+11 2.38633e+10
2.27433e+11 2.39873e+10
2.27412e+11 2.41081e+10
2.27391e+11 2.42246e+10
2.27372e+11 2.43368e+10
2.27358e+11 2.44471e+10
2.27349e+11 2.45585e+10
2.27343e+11 2.46732e+10
2.27338e+11 2.47918e+10
2.27331e+11 2.49137e+10
2.27323e+11 2.50382e+10
2.27312e+11 2.51642e+10
2.27297e+11 2.52904e+10
2.2728e+11 2.54158e+10
2.27259e+11 2.55389e+10
2.27238e+11 2.56583e+10
2.27216e+11 2.57733e+10
2.27198e+11 2.58846e+10
2.27185e+11 2.59948e+10
2.27176e+11 2.61069e+10
2.2717e+11 2.62227e+10
2.27163e+11 2.63423e+10
2.27155e+11 2.64651e+10
2.27145e+11 2.659e+10
2.27132e+11 2.67161e+10
2.27116e+11 2.68421e+10
2.27097e+11 2.69669e+10
2.27075e+11 2.70889e+10
2.27053e+11 2.7207e+10
2.27031e+11 2.73206e+10
2.27013e+11 2.7431e+10
2.27001e+11 2.75414e+10
2.26992e+11 2.76545e+10
2.26985e+11 2.77714e+10
2.26978e+11 2.7892e+10
2.26969e+11 2.80154e+10
