Angle,MT
0,5476
3,5486
6,5496
9,5506
12,5516
15,5525
18,5535
21,5545
24,5554
27,5564
30,5573
33,5582
36,5592
39,5601
42,5610
45,5619
48,5627
51,5636
54,5645
57,5653
60,5662
63,5670
66,5679
69,5242
72,5244
75,5249
78,5254
81,5261
84,5268
87,5275
90,5283
93,5750
96,5411
99,5423
102,5435
105,5447
108,5458
111,5470
114,5481
117,5491
120,5502
123,5512
126,5522
129,5532
132,5541
135,5400
138,5407
141,5414
144,5421
147,5429
150,5436
153,5442
156,5449
159,5454
162,5459
165,5459.0
166,5464.666666666667
167,5470.333333333333
168,5476.0
169,5481.666666666667
170,5487.333333333333
171,5493.0
172,5498.666666666667
173,5504.333333333333
174,5510
177,5513
180,5518
183,5524
186,5530
189,5537
192,5543
195,5550
198,5557
201,5563.0
202,5565.4111111111115
203,5567.822222222222
204,5570.233333333334
205,5572.644444444444
206,5575.055555555556
207,5577.466666666666
208,5579.877777777778
209,5582.288888888889
210,5584.7
211,5587.111111111111
212,5589.522222222222
213,5591.933333333333
214,5594.344444444445
215,5596.7555555555555
216,5599.166666666667
217,5601.577777777778
218,5603.988888888889
219,5606.4
220,5608.811111111111
221,5611.222222222223
222,5613.633333333333
223,5616.044444444445
224,5618.455555555555
225,5620.866666666667
226,5623.277777777777
227,5625.688888888889
228,5628.1
229,5630.511111111111
230,5632.922222222222
231,5635.333333333333
232,5637.7444444444445
233,5640.155555555555
234,5642.566666666667
235,5644.977777777778
236,5647.388888888889
237,5649.8
238,5652.211111111111
239,5654.622222222222
240,5657.033333333334
241,5659.444444444444
242,5661.855555555556
243,5664.266666666666
244,5666.677777777778
245,5669.0888888888885
246,5671.5
247,5671.5
248,5672.5
249,5673.5
250,5675.0
251,5676.5
252,5678.0
253,5679.5
254,5681.5
255,5683.0
256,5684.5
257,5686.5
258.0,5688.0
259.5,5386
260.0,5386
260.5,5386
261.0,5387
261.5,5387
262.0,5388
262.5,5388
263.0,5389
263.5,5389
264.0,5390
264.5,5391
265.0,5391
265.5,5392
266.0,5393
266.5,5393
267.0,5394
267.5,5395
268.0,5398
268.5,5425
269.0,5427
269.5,5429
270.0,5430
270.5,5432
271.0,5434
271.5,5436
272.0,5437
272.5,5439
273.0,5441
273.5,5844
276,5856
279,5870
282,5884
285,5897
288,5910
291,5923
294,5936
297,5948
300,5960
303,5972
306,5983
309,5995
321,5385.5
322,5377.0
323,5374.5
324,5373.5
325,5373.5
326,5374.5
327,5376.0
328,5377.5
329,5379.5
330,5381.5
331,5384.0
332,5386.5
333,5389.0
334,5392.0
335,5394.5
336,5397.5
337,5400.5
338,5403.5
339,5407
342,5416
345,5426
348,5436
351,5446
354,5456
357,5466
